session_id,normalized_delay_bound,data_transfer_cost,interDC_cost_ratio,num_chosen_DCs,alg_running_time
1,1.00455,2.54909,0.0271041,2,18
2,1.01182,2.74364,0.0596421,3,1
3,1.01418,2.74364,0.0596421,3,3
4,1,3.61818,0.11005,4,0
5,1.02338,3.61818,0.11005,4,0
6,1.01337,3.64545,0.116708,4,0
7,1.07345,3.36,0.0714286,3,3
8,1.07357,3.36,0.0714286,3,3
9,1,3.11455,0.068885,3,3
10,1.03714,3.64545,0.116708,4,1
11,1.06232,3.08364,0.0919811,4,1
12,1.02338,3.52545,0.120681,4,0
13,1.07752,3.24,0.037037,2,21
14,1.02473,3.22182,0.0998871,4,0
15,1.12113,2.54909,0.0271041,2,4
16,1.00503,3.61818,0.11005,4,0
17,1,3.22182,0.0998871,4,1
18,1.10714,2.89455,0.0326633,2,3
19,1.06471,2.98909,0.0632603,3,2
20,1,3.22182,0.0998871,4,1
21,1.09642,3.36,0.0714286,3,4
22,1.0794,2.54909,0.0271041,2,13
23,1.06027,3.36,0.0714286,3,1
24,1.09694,2.54909,0.0271041,2,32
25,1.08555,3.36,0.0714286,3,3
26,1.04905,3.36,0.0714286,3,1
27,1.07357,2.98909,0.0632603,3,4
28,1.12794,2.98909,0.0632603,3,3
29,1.03235,3.61818,0.11005,4,1
30,1.08782,3.36,0.0714286,3,3
31,1.019,2.74364,0.0596421,3,1
32,1,3.22182,0.0998871,4,2
33,1.08447,2.98909,0.0632603,3,2
34,1.01609,2.89455,0.0326633,2,17
35,1.07357,2.98909,0.0632603,3,9
36,1.10567,2.54909,0.0271041,2,24
37,1.05528,3.48545,0.0761607,3,1
38,1.07345,3.36,0.0714286,3,5
39,1.07357,3.36,0.0714286,3,2
40,1.12794,3.24,0.037037,2,33
41,1.02338,3.22182,0.0998871,4,0
42,1,3.22182,0.0998871,4,1
43,1.10236,2.89455,0.0326633,2,13
44,1.02338,3.22182,0.0998871,4,0
45,1.04432,2.98909,0.0632603,3,1
46,1.03235,3.22182,0.0998871,4,1
47,1.01412,3.22182,0.0998871,4,1
48,1.06775,2.98909,0.0632603,3,1
49,1,2.54909,0.0271041,2,6
50,1.03377,3.61818,0.11005,4,1
51,1.11856,2.89455,0.0326633,2,11
52,1.11598,2.54909,0.0271041,2,14
53,1,2.89455,0.0326633,2,4
54,1,3.22182,0.0998871,4,2
55,1.00798,3.64545,0.116708,4,1
56,1.09694,2.54909,0.0271041,2,7
57,1.10714,2.89455,0.0326633,2,26
58,1.07357,3.36,0.0714286,3,5
59,1.02653,3.24909,0.107443,4,0
60,1,2.74364,0.0596421,3,1
61,1.00475,3.22182,0.0998871,4,1
62,1.02338,3.94909,0.133978,4,0
63,1.06013,3.22182,0.0998871,4,1
64,1.14469,2.98909,0.0632603,3,2
65,1,3.61818,0.11005,4,0
66,1.10567,2.54909,0.0271041,2,16
67,1.00475,3.11455,0.068885,3,3
68,1,2.54909,0.0271041,2,10
69,1.00503,3.22182,0.0998871,4,1
70,1.05348,3.08364,0.0919811,4,1
71,1.07357,2.98909,0.0632603,3,3
72,1.0285,2.89455,0.0326633,2,9
73,1.09091,3.36,0.0714286,3,19
74,1.02338,3.61818,0.11005,4,1
75,1.02338,3.22182,0.0998871,4,1
76,1.07357,3.36,0.0714286,3,9
77,1.02338,3.22182,0.0998871,4,2
78,1.02123,2.54909,0.0271041,2,6
79,1.10714,2.61818,0.0527778,3,3
80,1.10567,2.89455,0.0326633,2,28
81,1.07345,3.36,0.0714286,3,2
82,1,2.54909,0.0271041,2,21
83,1.05348,3.08364,0.0919811,4,1
84,1.13421,2.89455,0.0326633,2,16
85,1.06069,3.24909,0.107443,4,1
86,1.01326,3.64545,0.116708,4,0
87,1.04432,2.98909,0.0632603,3,1
88,1.12113,2.89455,0.0326633,2,14
89,1,2.82545,0.0868726,4,1
90,1.07357,3.36,0.0714286,3,9
91,1,3.22182,0.0998871,4,4
92,1.10825,2.54909,0.0271041,2,29
93,1.02364,2.31636,0.0243328,2,3
94,1.09694,3.24,0.037037,2,9
95,1,3.24,0.0740741,3,2
96,1,3.61818,0.11005,4,0
97,1.07487,3.64545,0.116708,4,0
98,1,2.89455,0.0326633,2,5
99,1.07759,3.36,0.0714286,3,1
100,1,2.54909,0.0271041,2,18
101,1.07345,3.36,0.0714286,3,1
102,1,3.61818,0.11005,4,1
103,1.10714,2.54909,0.0271041,2,18
104,1.11856,2.54909,0.0271041,2,20
105,1.03235,3.61818,0.11005,4,0
106,1.00455,2.89455,0.0326633,2,9
107,1.03315,3.61818,0.11005,4,0
108,1,3.22182,0.0998871,4,7
109,1.12794,2.89455,0.0326633,2,8
110,1.13223,2.98909,0.0632603,3,2
111,1.10969,2.54909,0.0271041,2,5
112,1,2.98909,0.0632603,3,1
113,1.00227,2.54909,0.0271041,2,19
114,1.07357,2.98909,0.0632603,3,4
115,1.04922,3.64545,0.116708,4,0
116,1,3.22182,0.0998871,4,2
117,1.04928,3.36,0.0714286,3,1
118,1.04432,2.98909,0.0632603,3,2
119,1.08523,2.98909,0.0632603,3,1
120,1.01857,3.81091,0.128817,4,0
121,1.01326,3.64545,0.116708,4,1
122,1,2.16,0,1,19
123,1,2.54909,0.0271041,2,11
124,1,3.11455,0.068885,3,7
125,1.00475,3.22182,0.0998871,4,1
126,1.02079,2.89455,0.0326633,2,17
127,1.04432,3.36,0.0714286,3,2
128,1.0875,2.74364,0.0596421,3,3
129,1.0745,3.36,0.0714286,3,1
130,1.10714,2.89455,0.0326633,2,8
131,1.09091,2.98909,0.0632603,3,16
132,1.02338,3.61818,0.11005,4,1
133,1.09949,2.89455,0.0326633,2,19
134,1,2.89455,0.0326633,2,11
135,1.02079,2.89455,0.0326633,2,26
136,1.05789,3.24909,0.107443,4,0
137,1.00455,2.74364,0.0596421,3,1
138,1.02375,2.89455,0.0326633,2,3
139,1,3.22182,0.0998871,4,1
140,1.09694,2.54909,0.0271041,2,15
141,1.11856,2.54909,0.0271041,2,31
142,1.11856,2.89455,0.0326633,2,12
143,1,3.22182,0.0998871,4,1
144,1.04474,3.36,0.0714286,3,2
145,1.02358,2.89455,0.0326633,2,9
146,1.01655,3.61818,0.11005,4,0
147,1.10249,2.98909,0.0632603,3,2
148,1,2.54909,0.0271041,2,14
149,1,3.52545,0.120681,4,0
150,1.09913,2.98909,0.0632603,3,3
151,1.13421,2.89455,0.0326633,2,45
152,1.03989,3.64545,0.116708,4,0
153,1,2.89455,0.0326633,2,7
154,1.02338,3.61818,0.11005,4,1
155,1.0425,3.22182,0.0998871,4,1
156,1.10825,2.89455,0.0326633,2,7
157,1.1018,3.36,0.0714286,3,1
