achieved_delay_bound_avg,1.07289
achieved_delay_bound_99th,1.3169
data_transfer_cost_avg,2.19942
data_transfer_cost_99th,3.09603
interDC_cost_ratio_avg,0.16642
interDC_cost_ratio_99th,0.263158
num_chosen_DCs_avg,4.425
num_chosen_DCs_99th,6
num_evaluated_solutions_avg,27.177
num_evaluated_solutions_99th,68
alg_running_time_avg,0.384
