session_id,achieved_delay_bound,data_transfer_cost,interDC_cost_ratio,num_chosen_DCs,alg_running_time
1,220,3.03889,0.216621,5,0
2,185,2.864,0.223464,5,0
3,184,3.06629,0.265561,6,0
4,192,2.704,0.177515,4,0
5,172,3.13491,0.208527,5,0
6,222,2.86343,0.2275,5,0
7,176,3.06629,0.265561,6,0
8,228,3.16346,0.260113,6,0
9,189,3,0.24,5,0
10,261,2.96,0.243243,5,0
11,193,2.86343,0.2275,5,0
12,302,2.90286,0.228346,5,0
13,257,3.16346,0.260113,6,0
14,225,3.18914,0.306397,7,0
15,272,2.96057,0.239336,5,0
16,200,3.20346,0.256865,6,0
17,193,3.06629,0.265561,6,0
18,199,3.06629,0.265561,6,0
19,188,3.13491,0.208527,5,0
20,247,2.90286,0.228346,5,0
21,203,3.06857,0.270019,6,0
22,235,2.86286,0.231537,5,0
23,191,3.16117,0.255782,6,0
24,291,3.06629,0.265561,6,0
25,222,2.99946,0.215658,5,0
26,188,3.06629,0.265561,6,0
27,258,3.13771,0.28228,6,0
28,243,2.86343,0.2275,5,0
29,194,2.86343,0.2275,5,0
30,238,2.864,0.223464,5,0
31,239,3.14,0.286624,6,0
32,246,2.90286,0.228346,5,0
33,250,3.03889,0.216621,5,0
34,231,2.99889,0.21951,5,0
35,229,3.06857,0.270019,6,0
36,177,3.06629,0.265561,6,0
37,243,3.06629,0.265561,6,0
38,244,3.16346,0.260113,6,0
39,184,3.20346,0.256865,6,0
40,225,2.86286,0.231537,5,0
41,174,2.864,0.223464,5,0
42,215,3,0.24,5,0
43,187,2.704,0.177515,4,0
44,240,3.06857,0.270019,6,0
45,204,3.16117,0.255782,6,0
46,207,2.704,0.177515,4,0
47,226,2.86343,0.2275,5,0
48,188,3.13491,0.208527,5,0
49,197,3.03889,0.216621,5,0
50,191,3.06629,0.265561,6,0
51,213,2.86286,0.231537,5,0
52,233,3.02857,0.273585,6,0
53,181,3.32289,0.292001,7,0
54,178,2.704,0.177515,4,0
55,238,2.704,0.177515,4,0
56,167,2.704,0.177515,4,0
57,204,2.90343,0.224365,5,0
58,233,2.86343,0.2275,5,0
59,226,2.86343,0.2275,5,0
60,228,2.99946,0.215658,5,0
61,219,2.99889,0.21951,5,0
62,197,2.864,0.223464,5,0
63,225,3.06857,0.270019,6,0
64,256,3.13771,0.28228,6,0
65,212,2.99946,0.215658,5,0
66,246,2.96057,0.239336,5,0
67,189,2.99946,0.215658,5,0
68,171,2.864,0.223464,5,0
69,230,2.864,0.223464,5,0
70,251,2.86343,0.2275,5,0
71,253,3.14,0.286624,6,0
72,228,2.96,0.243243,5,0
73,182,2.90343,0.224365,5,0
74,258,2.864,0.223464,5,1
75,189,2.99946,0.215658,5,0
76,281,2.99889,0.21951,5,0
77,290,3.06857,0.270019,6,0
78,313,2.99946,0.215658,5,0
79,182,3.06629,0.265561,6,0
80,193,2.704,0.177515,4,0
81,267,3.06857,0.270019,6,0
82,221,2.86343,0.2275,5,0
83,186,2.96057,0.239336,5,0
84,261,3.02629,0.269071,6,0
85,268,2.86343,0.2275,5,0
86,223,2.96,0.243243,5,0
87,221,2.90286,0.228346,5,0
88,198,2.96057,0.239336,5,0
89,212,2.86343,0.2275,5,0
90,196,3.22914,0.302601,7,0
91,207,3.13491,0.208527,5,0
92,235,3.02629,0.269071,6,0
93,196,3.20346,0.256865,6,0
94,215,2.99889,0.21951,5,0
95,202,3.06857,0.270019,6,0
96,184,3.36803,0.293177,7,0
97,219,2.99889,0.21951,5,0
98,188,3,0.24,5,0
99,225,2.99889,0.21951,5,0
100,277,3.18914,0.306397,7,0
101,201,3.16117,0.255782,6,0
102,255,3.02629,0.269071,6,0
103,193,2.99946,0.215658,5,0
104,186,2.864,0.223464,5,0
105,207,3.02629,0.269071,6,0
106,273,2.86286,0.231537,5,0
107,220,2.90286,0.228346,5,0
108,181,3.06629,0.265561,6,0
109,231,2.96,0.243243,5,0
110,223,3.06629,0.265561,6,0
111,181,2.94286,0.225243,5,0
112,188,3.22914,0.302601,7,0
113,190,2.96057,0.239336,5,0
114,241,2.704,0.177515,4,0
115,187,3.06629,0.265561,6,0
116,246,2.90286,0.228346,5,0
117,228,3.02629,0.269071,6,0
118,208,2.90286,0.228346,5,0
119,189,2.86286,0.231537,5,0
120,242,2.86343,0.2275,5,0
121,242,3.02629,0.269071,6,0
122,196,3.06629,0.265561,6,0
