session_id,achieved_delay_bound,data_transfer_cost,interDC_cost_ratio,num_chosen_DCs,alg_running_time
1,220,2.87431,0.171768,4,0
2,169,1.744,0.0917431,3,0
3,176,1.86057,0.1336,4,1
4,187,1.824,0.131579,4,0
5,172,2.97149,0.164997,4,0
6,180,2.33714,0.161369,4,1
7,171,2.61714,0.167031,4,0
8,220,2.13714,0.148396,4,0
9,196,2.82,0.191489,4,0
10,221,1.78,0.134831,4,0
11,190,1.85714,0.138462,4,0
12,181,1.67143,0.0786325,3,0
13,228,2.40806,0.102513,3,1
14,219,2.144,0.16791,4,1
15,267,2.58057,0.166076,4,1
16,196,1.99431,0.127219,4,0
17,165,1.93143,0.0887574,3,0
18,199,2.77714,0.179012,4,0
19,188,2.97149,0.164997,4,0
20,216,2.17714,0.145669,4,1
21,197,2.45714,0.153488,4,0
22,198,1.85714,0.138462,4,0
23,199,2.87431,0.171768,4,0
24,238,2.61714,0.167031,4,1
25,191,2.14057,0.144154,4,0
26,187,2.77714,0.179012,4,1
27,253,2.58057,0.166076,4,0
28,193,1.73714,0.113487,4,0
29,171,2.33834,0.151023,4,0
30,166,1.63771,0.076762,3,0
31,169,2.02343,0.17368,4,0
32,198,2.27431,0.137938,4,0
33,210,2.43431,0.153519,4,0
34,208,2.87431,0.171768,4,0
35,208,2.16974,0.0963906,3,1
36,174,2.30057,0.160209,4,0
37,182,1.86057,0.1336,4,1
38,234,2.33714,0.161369,4,0
39,191,2.87431,0.171768,4,0
40,216,1.95431,0.129823,4,0
41,167,2.264,0.159011,4,0
42,197,2.38,0.176471,4,1
43,176,1.744,0.0917431,3,0
44,194,2.01714,0.157224,4,1
45,165,2.33143,0.107843,3,0
46,161,1.744,0.0917431,3,0
47,204,2.17714,0.145669,4,0
48,188,2.97149,0.164997,4,0
49,171,2.61714,0.167031,4,0
50,191,2.74057,0.178274,4,0
51,196,1.81714,0.141509,4,0
52,202,1.81714,0.141509,4,0
53,181,2.87431,0.171768,4,0
54,178,2.704,0.177515,4,0
55,234,1.744,0.0917431,3,1
56,167,2.74057,0.178274,4,0
57,200,1.86057,0.1336,4,0
58,220,2.69149,0.159869,4,0
59,206,2.77714,0.179012,4,0
60,190,2.58057,0.166076,4,1
61,202,2.39774,0.152286,4,0
62,178,1.63771,0.076762,3,0
63,224,2.13714,0.148396,4,0
64,206,1.78,0.134831,4,0
65,174,2.14057,0.144154,4,0
66,182,1.48571,0.0307692,2,0
67,177,2.14057,0.144154,4,0
68,170,2.704,0.177515,4,1
69,170,1.744,0.0917431,3,0
70,216,1.73714,0.113487,4,0
71,242,2.33143,0.107843,3,0
72,185,1.94,0.154639,4,0
73,176,2.61714,0.167031,4,0
74,242,2.14057,0.144154,4,0
75,164,2.15431,0.145621,4,0
76,217,1.92463,0.0433479,2,0
77,238,1.67143,0.0786325,3,1
78,250,2.01714,0.127479,4,0
79,154,2.61714,0.167031,4,1
80,174,2.14057,0.144154,4,0
81,213,1.85714,0.138462,4,0
82,201,1.85714,0.138462,4,1
83,186,2.78343,0.190926,4,0
84,212,2.17714,0.145669,4,0
85,185,2.33714,0.161369,4,1
