session_id,normalized_delay_bound,data_transfer_cost,interDC_cost_ratio,num_chosen_DCs,alg_running_time
1,1.07955,2.16,0,1,5459
2,1.1253,2.28655,0.023855,2,547
3,1.18203,2.16,0,1,8961
4,1.02558,3.22182,0.0998871,4,21
5,1.04675,3.36,0.0714286,3,22
6,1.01337,3.64545,0.116708,4,11
7,1.12429,2.16,0,1,103
8,1.09264,2.98909,0.0632603,3,102
9,1.15423,2.34109,0.0465983,3,2169
10,1.03714,3.64545,0.116708,4,1
11,1.25779,2.16,0,1,1875
12,1.12468,2.16,0,1,336
13,1.07752,3.24,0.037037,2,102
14,1.20879,2.16,0,1,1743
15,1.3067,2.16,0,1,2688
16,1.00503,3.61818,0.11005,4,11
17,1.0825,2.31636,0.0243328,2,385
18,1.22959,2.16,0,1,743
19,1.25,2.20364,0.019802,2,1165
20,1.085,2.74364,0.0596421,3,82
21,1.09642,3.36,0.0714286,3,21
22,1.19851,2.16,0,1,31
23,1.1589,2.16,0,1,833
24,1.2551,2.16,0,1,20001
25,1.13274,2.98909,0.0632603,3,40
26,1.09264,3.36,0.0714286,3,93
27,1.21798,2.16,0,1,789
28,1.30287,2.16,0,1,606
29,1.15633,2.16,0,1,3387
30,1.17847,2.16,0,1,429
31,1.12589,2.28655,0.023855,2,2071
32,1,3.22182,0.0998871,4,36
33,1.18529,2.54909,0.0271041,2,523
34,1.2046,2.16,0,1,3204
35,1.21798,2.16,0,1,685
36,1.29124,2.16,0,1,19737
37,1.05528,3.48545,0.0761607,3,12
38,1.10452,2.74364,0.0596421,3,91
39,1.09264,2.98909,0.0632603,3,85
40,1.24282,2.16,0,1,1516
41,1.05455,3.18182,0.101143,4,33
42,1.075,2.37273,0.0475096,3,270
43,1.28084,2.16,0,1,20627
44,1.18701,2.16,0,1,8784
45,1.11911,2.16,0,1,218
46,1.15364,2.16,0,1,2040
47,1.08757,2.31636,0.0243328,2,268
48,1.21138,2.16,0,1,341
49,1.0771,2.16,0,1,375
50,1.05455,3.18182,0.101143,4,66
51,1.25,2.16,0,1,5070
52,1.18041,2.16,0,1,13163
53,1.1533,2.16,0,1,2366
54,1.065,2.31636,0.0243328,2,460
55,1.00798,3.64545,0.116708,4,5
56,1.16582,2.16,0,1,2967
57,1.23214,2.16,0,1,3701
58,1.11989,2.86909,0.0659062,3,192
59,1.09549,2.98909,0.0632603,3,373
60,1.13636,2.16,0,1,8338
61,1.05463,2.59455,0.0903994,4,33
62,1.04675,3.48,0.103448,4,45
63,1.18038,2.16,0,1,82
64,1.24116,2.16,0,1,1566
65,1,3.61818,0.11005,4,2
66,1.26031,2.16,0,1,12363
67,1.12589,2.28655,0.023855,2,1132
68,1.05442,2.16,0,1,4038
69,1.09296,2.74364,0.0596421,3,120
70,1.16043,2.54909,0.0271041,2,183
71,1.21798,2.16,0,1,1419
72,1.23515,2.16,0,1,15447
73,1.09091,3.36,0.0714286,3,61
74,1.04935,3.24,0.037037,2,201
75,1.14026,2.20364,0.019802,2,1425
76,1.09264,2.98909,0.0632603,3,375
77,1.20519,2.16,0,1,7287
78,1.18396,2.16,0,1,1507
79,1.2449,2.16,0,1,7117
80,1.21134,2.16,0,1,3218
81,1.07345,3.36,0.0714286,3,23
82,1.18821,2.16,0,1,1699
83,1.10428,2.74364,0.0596421,3,261
84,1.34737,2.16,0,1,6057
85,1.219,2.16,0,1,267
86,1.01326,3.64545,0.116708,4,9
87,1.17729,2.20364,0.019802,2,458
88,1.29381,2.16,0,1,2965
89,1.045,2.37273,0.0475096,3,205
90,1.07357,3.36,0.0714286,3,170
91,1.1253,2.16,0,1,968
92,1.25,2.16,0,1,11820
93,1.1253,2.16,0,1,2542
94,1.14796,2.16,0,1,262
95,1.1253,2.36945,0.0276243,2,473
96,1.04965,2.37273,0.0475096,3,36
97,1.19251,2.20364,0.019802,2,669
98,1.09297,2.16,0,1,423
99,1.14655,2.54909,0.0271041,2,317
100,1.07483,2.16,0,1,22877
