,ec2-ap-northeast-1,ec2-ap-northeast-2,ec2-ap-south-1,ec2-ap-southeast-1,ec2-ap-southeast-2,ec2-eu-central-1,ec2-eu-west-1,ec2-sa-east-1,ec2-us-east-1,ec2-us-west-1,ec2-us-west-2
ec2-ap-northeast-1,90,0,0,0,0,78,12,90,74,16,0
ec2-ap-northeast-2,0,218,0,0,0,200,18,218,160,52,6
ec2-ap-south-1,0,0,58,0,0,50,8,58,48,10,0
ec2-ap-southeast-1,0,0,0,166,0,140,26,166,114,44,8
ec2-ap-southeast-2,0,0,0,0,68,64,4,68,58,10,0
ec2-eu-central-1,78,200,50,140,64,532,0,532,406,114,12
ec2-eu-west-1,12,18,8,26,4,0,68,68,48,18,2
ec2-sa-east-1,90,218,58,166,68,532,68,600,454,132,14
ec2-us-east-1,74,160,48,114,58,406,48,454,454,0,0
ec2-us-west-1,16,52,10,44,10,114,18,132,0,132,0
ec2-us-west-2,0,6,0,8,0,12,2,14,0,0,14
