,ec2-ap-northeast-1,ec2-ap-northeast-2,ec2-ap-south-1,ec2-ap-southeast-1,ec2-ap-southeast-2,ec2-eu-central-1,ec2-eu-west-1,ec2-sa-east-1,ec2-us-east-1,ec2-us-west-1,ec2-us-west-2
ec2-ap-northeast-1,520,364,138,336,130,1366,122,1488,1166,236,86
ec2-ap-northeast-2,364,1916,290,660,274,3134,370,3504,2704,602,198
ec2-ap-south-1,138,290,360,214,86,986,102,1088,846,178,64
ec2-ap-southeast-1,336,660,214,1156,178,2304,240,2544,1914,500,130
ec2-ap-southeast-2,130,274,86,178,308,866,110,976,754,172,50
ec2-eu-central-1,1366,3134,986,2304,866,8032,624,8656,6674,1514,468
ec2-eu-west-1,122,370,102,240,110,624,320,944,710,174,60
ec2-sa-east-1,1488,3504,1088,2544,976,8656,944,9600,7384,1688,528
ec2-us-east-1,1166,2704,846,1914,754,6674,710,7384,6094,984,306
ec2-us-west-1,236,602,178,500,172,1514,174,1688,984,642,62
ec2-us-west-2,86,198,64,130,50,468,60,528,306,62,160
