,ec2-ap-northeast-1,ec2-ap-northeast-2,ec2-ap-south-1,ec2-ap-southeast-1,ec2-ap-southeast-2,ec2-eu-central-1,ec2-eu-west-1,ec2-sa-east-1,ec2-us-east-1,ec2-us-west-1,ec2-us-west-2
ec2-ap-northeast-1,208,56,26,58,20,320,48,368,290,62,16
ec2-ap-northeast-2,56,610,38,118,54,780,96,876,658,182,36
ec2-ap-south-1,26,38,138,36,6,212,32,244,190,44,10
ec2-ap-southeast-1,58,118,36,428,24,586,78,664,492,140,32
ec2-ap-southeast-2,20,54,6,24,144,218,30,248,190,48,10
ec2-eu-central-1,320,780,212,586,218,1994,122,2116,1610,422,84
ec2-eu-west-1,48,96,32,78,30,122,162,284,210,54,20
ec2-sa-east-1,368,876,244,664,248,2116,284,2400,1820,476,104
ec2-us-east-1,290,658,190,492,190,1610,210,1820,1594,186,40
ec2-us-west-1,62,182,44,140,48,422,54,476,186,278,12
ec2-us-west-2,16,36,10,32,10,84,20,104,40,12,52
