,ec2-ap-northeast-1,ec2-ap-northeast-2,ec2-ap-south-1,ec2-ap-southeast-1,ec2-ap-southeast-2,ec2-eu-central-1,ec2-eu-west-1,ec2-sa-east-1,ec2-us-east-1,ec2-us-west-1,ec2-us-west-2
ec2-ap-northeast-1,430,262,102,236,88,998,102,1096,842,192,48
ec2-ap-northeast-2,262,1558,224,488,200,2374,312,2754,2038,480,146
ec2-ap-south-1,102,224,306,162,56,752,82,832,654,122,40
ec2-ap-southeast-1,236,488,162,964,130,1708,192,1892,1428,380,92
ec2-ap-southeast-2,88,200,56,130,276,664,94,776,572,132,36
ec2-eu-central-1,998,2374,752,1708,664,6232,500,6630,4998,1158,306
ec2-eu-west-1,102,312,82,192,94,500,296,796,574,142,46
ec2-sa-east-1,1096,2754,832,1892,776,6630,796,7696,5630,1326,364
ec2-us-east-1,842,2038,654,1428,572,4998,574,5630,4716,734,214
ec2-us-west-1,192,480,122,380,132,1158,142,1326,734,530,40
ec2-us-west-2,48,146,40,92,36,306,46,364,214,40,124
