,ec2-ap-northeast-1,ec2-ap-northeast-2,ec2-ap-south-1,ec2-ap-southeast-1,ec2-ap-southeast-2,ec2-eu-central-1,ec2-eu-west-1,ec2-sa-east-1,ec2-us-east-1,ec2-us-west-1,ec2-us-west-2
ec2-ap-northeast-1,336,190,64,162,52,734,70,804,636,134,34
ec2-ap-northeast-2,190,1200,154,322,138,1758,246,2004,1532,378,94
ec2-ap-south-1,64,154,238,106,32,536,58,594,484,88,22
ec2-ap-southeast-1,162,322,106,778,90,1300,158,1458,1096,292,70
ec2-ap-southeast-2,52,138,32,90,228,472,68,540,410,104,26
ec2-eu-central-1,734,1758,536,1300,472,4464,336,4800,3706,878,216
ec2-eu-west-1,70,246,58,158,68,336,264,600,452,118,30
ec2-sa-east-1,804,2004,594,1458,540,4800,600,5400,4158,996,246
ec2-us-east-1,636,1532,484,1096,410,3706,452,4158,3510,518,130
ec2-us-west-1,134,378,88,292,104,878,118,996,518,456,22
ec2-us-west-2,34,94,22,70,26,216,30,246,130,22,94
