,ec2-ap-northeast-1,ec2-ap-northeast-2,ec2-ap-south-1,ec2-ap-southeast-1,ec2-ap-southeast-2,ec2-eu-central-1,ec2-eu-west-1,ec2-sa-east-1,ec2-us-east-1,ec2-us-west-1,ec2-us-west-2
ec2-ap-northeast-1,272,124,40,118,32,508,56,568,446,88,28
ec2-ap-northeast-2,124,876,90,226,76,1178,166,1382,1010,256,56
ec2-ap-south-1,40,90,184,78,16,348,40,392,296,60,16
ec2-ap-southeast-1,118,226,78,632,60,912,120,1026,768,210,50
ec2-ap-southeast-2,32,76,16,60,166,312,44,364,268,68,14
ec2-eu-central-1,508,1178,348,912,312,3260,224,3378,2502,608,130
ec2-eu-west-1,56,166,40,120,44,224,212,416,306,72,24
ec2-sa-east-1,568,1382,392,1026,364,3378,416,4040,2842,706,166
ec2-us-east-1,446,1010,296,768,268,2502,306,2842,2512,328,82
ec2-us-west-1,88,256,60,210,68,608,72,706,328,344,20
ec2-us-west-2,28,56,16,50,14,130,24,166,82,20,74
