,ec2-ap-northeast-1,ec2-ap-northeast-2,ec2-ap-south-1,ec2-ap-southeast-1,ec2-ap-southeast-2,ec2-eu-central-1,ec2-eu-west-1,ec2-sa-east-1,ec2-us-east-1,ec2-us-west-1,ec2-us-west-2
ec2-ap-northeast-1,16,4,0,8,2,26,2,6,26,2,4
ec2-ap-northeast-2,4,8,2,8,0,12,4,0,18,4,4
ec2-ap-south-1,0,2,2,0,0,4,0,0,6,2,0
ec2-ap-southeast-1,8,8,0,14,2,16,4,0,18,4,6
ec2-ap-southeast-2,2,0,0,2,2,4,0,0,4,2,0
ec2-eu-central-1,26,12,4,16,4,170,4,16,76,30,10
ec2-eu-west-1,2,4,0,4,0,4,6,0,20,6,2
ec2-sa-east-1,6,0,0,0,0,16,0,6,16,2,2
ec2-us-east-1,26,18,6,18,4,76,20,16,148,40,12
ec2-us-west-1,2,4,2,4,2,30,6,2,40,18,2
ec2-us-west-2,4,4,0,6,0,10,2,2,12,2,6
