,ec2-ap-northeast-1,ec2-ap-northeast-2,ec2-ap-south-1,ec2-ap-southeast-1,ec2-ap-southeast-2,ec2-eu-central-1,ec2-eu-west-1,ec2-sa-east-1,ec2-us-east-1,ec2-us-west-1,ec2-us-west-2
ec2-ap-northeast-1,270,140,32,102,20,466,42,78,644,118,28
ec2-ap-northeast-2,140,798,80,258,80,1246,104,154,1634,302,104
ec2-ap-south-1,32,80,188,68,20,362,40,42,494,118,36
ec2-ap-southeast-1,102,258,68,452,48,712,86,124,1126,236,68
ec2-ap-southeast-2,20,80,20,48,116,234,30,42,344,86,20
ec2-eu-central-1,466,1246,362,712,234,5372,308,492,5230,1106,312
ec2-eu-west-1,42,104,40,86,30,308,182,56,458,110,44
ec2-sa-east-1,78,154,42,124,42,492,56,298,666,160,28
ec2-us-east-1,644,1634,494,1126,344,5230,458,666,9274,1584,446
ec2-us-west-1,118,302,118,236,86,1106,110,160,1584,760,100
ec2-us-west-2,28,104,36,68,20,312,44,28,446,100,154
