,ec2-ap-northeast-1,ec2-ap-northeast-2,ec2-ap-south-1,ec2-ap-southeast-1,ec2-ap-southeast-2,ec2-eu-central-1,ec2-eu-west-1,ec2-sa-east-1,ec2-us-east-1,ec2-us-west-1,ec2-us-west-2
ec2-ap-northeast-1,100,18,6,14,2,84,2,16,96,24,6
ec2-ap-northeast-2,18,242,4,38,4,152,22,22,238,38,14
ec2-ap-south-1,6,4,74,6,0,46,4,8,50,32,2
ec2-ap-southeast-1,14,38,6,138,6,98,8,10,162,32,8
ec2-ap-southeast-2,2,4,0,6,34,24,2,6,44,8,6
ec2-eu-central-1,84,152,46,98,24,1214,34,70,690,146,42
ec2-eu-west-1,2,22,4,8,2,34,58,8,50,20,8
ec2-sa-east-1,16,22,8,10,6,70,8,94,106,16,4
ec2-us-east-1,96,238,50,162,44,690,50,106,1760,180,48
ec2-us-west-1,24,38,32,32,8,146,20,16,180,244,12
ec2-us-west-2,6,14,2,8,6,42,8,4,48,12,50
