,ec2-ap-northeast-1,ec2-ap-northeast-2,ec2-ap-south-1,ec2-ap-southeast-1,ec2-ap-southeast-2,ec2-eu-central-1,ec2-eu-west-1,ec2-sa-east-1,ec2-us-east-1,ec2-us-west-1,ec2-us-west-2
ec2-ap-northeast-1,412,284,70,202,58,1020,98,160,1320,280,72
ec2-ap-northeast-2,284,1316,210,546,152,2360,248,330,3290,692,204
ec2-ap-south-1,70,210,286,172,46,716,64,106,976,224,70
ec2-ap-southeast-1,202,546,172,746,92,1410,160,218,2224,500,142
ec2-ap-southeast-2,58,152,46,92,162,524,56,74,692,144,44
ec2-eu-central-1,1020,2360,716,1410,524,9764,720,972,10442,2288,640
ec2-eu-west-1,98,248,64,160,56,720,302,120,1058,256,82
ec2-sa-east-1,160,330,106,218,74,972,120,462,1332,282,60
ec2-us-east-1,1320,3290,976,2224,692,10442,1058,1332,17324,3122,892
ec2-us-west-1,280,692,224,500,144,2288,256,282,3122,1258,166
ec2-us-west-2,72,204,70,142,44,640,82,60,892,166,204
