,ec2-ap-northeast-1,ec2-ap-northeast-2,ec2-ap-south-1,ec2-ap-southeast-1,ec2-ap-southeast-2,ec2-eu-central-1,ec2-eu-west-1,ec2-sa-east-1,ec2-us-east-1,ec2-us-west-1,ec2-us-west-2
ec2-ap-northeast-1,44,36,2,24,2,146,8,12,154,32,20
ec2-ap-northeast-2,36,62,2,32,2,168,22,12,206,36,22
ec2-ap-south-1,2,2,2,2,2,14,0,0,10,6,0
ec2-ap-southeast-1,24,32,2,40,2,94,20,20,116,32,18
ec2-ap-southeast-2,2,2,2,2,2,14,0,0,10,6,0
ec2-eu-central-1,146,168,14,94,14,794,80,64,776,138,72
ec2-eu-west-1,8,22,0,20,0,80,28,16,120,16,10
ec2-sa-east-1,12,12,0,20,0,64,16,16,74,16,10
ec2-us-east-1,154,206,10,116,10,776,120,74,992,168,94
ec2-us-west-1,32,36,6,32,6,138,16,16,168,50,20
ec2-us-west-2,20,22,0,18,0,72,10,10,94,20,14
