,ec2-ap-northeast-1,ec2-ap-northeast-2,ec2-ap-south-1,ec2-ap-southeast-1,ec2-ap-southeast-2,ec2-eu-central-1,ec2-eu-west-1,ec2-sa-east-1,ec2-us-east-1,ec2-us-west-1,ec2-us-west-2
ec2-ap-northeast-1,34,6,2,10,2,74,0,8,60,12,8
ec2-ap-northeast-2,6,24,4,12,0,48,6,2,68,14,8
ec2-ap-south-1,2,4,2,2,0,4,0,0,8,2,0
ec2-ap-southeast-1,10,12,2,12,2,40,4,4,42,10,6
ec2-ap-southeast-2,2,0,0,2,2,10,0,0,4,4,0
ec2-eu-central-1,74,48,4,40,10,318,12,28,258,62,34
ec2-eu-west-1,0,6,0,4,0,12,10,0,26,8,6
ec2-sa-east-1,8,2,0,4,0,28,0,6,18,2,4
ec2-us-east-1,60,68,8,42,4,258,26,18,320,70,38
ec2-us-west-1,12,14,2,10,4,62,8,2,70,26,6
ec2-us-west-2,8,8,0,6,0,34,6,4,38,6,10
