session_id,achieved_delay_bound,data_transfer_cost,interDC_cost_ratio,num_chosen_DCs,alg_running_time
1,221,3.04545,0.152836,5,93
2,193,2.65455,0.0356164,2,42
3,194,3.3612,0.147566,5,55
4,205,3.92993,0.165074,5,9
5,227,2.97491,0.151571,5,105
6,241,2.97369,0.0716587,3,87
7,252,3.12,0.115385,4,62
8,170,3.08473,0.153248,5,59
9,212,3.74605,0.188319,6,8
10,193,3.73455,0.175268,5,31
11,257,3.37091,0.0862999,3,82
12,232,2.80145,0.109034,4,42
13,188,3.74896,0.185748,6,38
14,235,2.60582,0.0697739,3,16
15,203,2.85818,0.132316,5,3
16,193,2.90182,0.110902,4,35
17,221,2.86218,0.118155,4,6
18,207,2.65455,0.0356164,2,45
19,237,2.68364,0.105691,4,36
20,229,3.30169,0.172363,6,128
21,232,2.16,0,1,56
22,183,3.00715,0.10992,4,16
23,209,3.22824,0.152293,5,116
24,209,3.53902,0.168922,5,93
25,205,3.24569,0.118647,4,9
26,188,3.22824,0.152293,5,121
27,256,2.81018,0.0989907,4,59
28,199,3.10182,0.103751,4,12
29,220,3.03587,0.123613,5,113
30,203,3.29987,0.16221,5,44
31,229,2.77673,0.0838135,3,9
32,203,3.30169,0.172363,6,46
33,239,3.0006,0.122642,5,59
34,260,3.3046,0.159777,5,22
35,198,3.2646,0.171537,6,21
36,179,3.36593,0.145198,5,60
37,248,2.54182,0.0321888,2,48
38,174,3.38824,0.184059,6,24
39,246,2.16,0,1,4
40,193,3.74265,0.150015,5,4
41,242,2.69018,0.103406,4,22
42,192,2.592,0.0617284,3,33
43,191,3.36593,0.145198,5,14
44,203,3.22824,0.152293,5,35
45,212,3.12182,0.160745,5,41
46,206,3.64496,0.154834,5,71
47,232,3.62242,0.177179,6,61
48,201,3.04545,0.152836,5,69
49,268,3.03624,0.135575,5,5
50,247,3.29878,0.175271,6,44
51,198,3.94969,0.194722,6,40
52,250,3.27611,0.15595,6,80
53,204,3.00909,0.116012,4,56
54,181,3.48035,0.115662,4,25
55,196,3.71938,0.171583,6,35
56,234,2.58909,0.0730337,3,129
57,241,2.77673,0.0838135,3,115
58,205,3.35115,0.183384,6,56
59,222,3.41915,0.158679,5,35
60,237,2.79491,0.111241,4,30
61,265,2.68364,0.105691,4,4
62,219,3.22351,0.154772,5,123
63,222,2.62364,0.0623701,3,82
64,239,2.69673,0.101133,4,94
65,208,3.37042,0.163131,5,6
66,210,2.16,0,1,2
67,195,4.25611,0.190528,6,56
68,219,3.92071,0.151735,5,3
69,219,2.74909,0.0687831,3,86
70,204,3.14727,0.12305,4,49
71,223,3.08024,0.10377,4,96
72,235,2.69673,0.101133,4,26
73,194,3.12945,0.148733,5,16
74,251,2.80145,0.109034,4,64
75,209,3.68133,0.163182,5,30
76,259,2.58909,0.0730337,3,25
77,186,2.16,0,1,59
78,215,2.16,0,1,3
79,204,2.92533,0.123312,5,32
80,235,3.34824,0.186258,6,23
81,250,3.24,0.111111,4,98
82,194,3.74265,0.150015,5,7
83,201,4.01356,0.152574,5,45
84,233,2.87455,0.0746363,3,57
85,237,3.03587,0.123613,5,37
86,218,3.18315,0.145311,5,80
87,176,3.48909,0.203231,6,63
88,251,2.69673,0.101133,4,37
89,216,3.71611,0.147173,5,4
90,251,2.58545,0.0949367,4,25
91,241,2.96036,0.127134,4,87
92,233,2.87455,0.0746363,3,48
93,242,2.86182,0.112452,4,107
94,209,3.08024,0.10377,4,42
95,231,3.17393,0.128777,5,21
96,297,2.86218,0.118155,4,154
97,191,2.98,0.120805,4,8
98,259,3.43575,0.148598,5,133
99,267,3.11187,0.116738,4,80
100,219,3.80884,0.179487,6,4
101,253,2.41818,0.0571429,3,84
102,217,3.61078,0.162342,5,19
103,227,2.80387,0.0867631,4,54
104,203,3.24569,0.118647,4,31
105,177,3.99515,0.203884,6,10
106,242,2.75091,0.11302,4,79
107,188,3.89102,0.196817,7,34
108,226,3.99515,0.203884,6,80
109,170,3.59733,0.203687,6,18
110,184,3.49818,0.113825,4,14
111,205,2.54182,0.0321888,2,43
112,203,3.16218,0.170193,5,88
113,218,3.92993,0.165074,5,65
114,240,3.04545,0.152836,5,62
115,199,3.00715,0.10992,4,23
116,229,3.89356,0.157276,5,3
117,206,3.84824,0.217148,7,7
118,214,2.87091,0.108296,4,17
119,219,3.24545,0.0817927,3,62
120,237,2.74909,0.0687831,3,88
121,265,2.79491,0.111241,4,14
122,211,3.1126,0.143931,5,15
123,208,3.38824,0.184059,6,121
124,232,3.17865,0.0998707,4,75
125,254,3.93247,0.190026,6,88
126,228,2.16,0,1,3
127,253,3.05865,0.103789,4,15
128,208,2.764,0.108538,4,9
129,226,3.16218,0.170193,5,37
130,195,3.18315,0.145311,5,62
131,236,3.22315,0.143507,5,28
132,258,2.79491,0.111241,4,41
133,216,3.29405,0.155873,5,27
134,240,2.89382,0.145765,5,17
135,195,3.41915,0.158679,5,69
136,190,3.28945,0.141499,5,45
137,245,2.94205,0.095666,4,21
138,212,2.90182,0.110902,4,19
139,254,2.96909,0.144519,5,47
140,229,2.86218,0.118155,4,48
141,230,3.46278,0.146178,5,35
142,225,4.14362,0.183853,6,37
143,230,2.97491,0.151571,5,94
144,181,3.22315,0.143507,5,38
145,210,2.59855,0.0902603,4,3
146,238,2.58909,0.0730337,3,99
147,217,3.78605,0.18633,6,24
148,208,2.65455,0.0356164,2,44
149,207,3.74265,0.150015,5,58
150,203,4.0246,0.226606,7,44
151,197,3.64496,0.154834,5,15
152,244,2.95587,0.126958,5,121
153,221,3.37405,0.152177,5,38
154,223,3.7132,0.116342,4,129
155,214,4.14665,0.193277,5,92
156,251,2.68364,0.105691,4,82
157,205,3.26727,0.118531,4,3
158,199,2.62364,0.0623701,3,43
159,259,2.72387,0.0893113,4,73
160,231,2.79455,0.0767729,3,23
161,189,2.97491,0.151571,5,52
162,199,4.00665,0.191046,6,52
163,179,3.74665,0.216047,7,59
164,224,3.27296,0.125991,4,44
165,207,2.83091,0.109827,4,100
166,242,3.00909,0.142598,5,26
167,196,2.62255,0.0665557,3,12
168,198,3.29878,0.175271,6,17
169,248,2.83745,0.107651,4,23
170,212,3.29878,0.175271,6,13
171,269,2.56727,0.0417847,2,120
172,223,3.78775,0.155909,5,18
173,255,2.67455,0.0802175,3,156
174,196,3.18315,0.145311,5,37
175,254,2.20364,0.019802,2,74
176,229,3.67187,0.187172,6,30
177,190,3.80884,0.179487,6,4
178,197,3.83224,0.170041,5,3
179,173,3.6092,0.20614,7,25
180,260,2.16,0,1,108
181,240,2.76,0.0869565,3,87
182,225,3.34424,0.186481,6,8
183,200,3.78605,0.18633,6,30
184,246,2.65273,0.10281,4,31
185,225,3.03624,0.135575,5,90
186,244,4.08084,0.222414,7,43
187,174,3.46036,0.212799,6,31
188,199,3.64496,0.154834,5,39
189,269,2.78764,0.130446,5,85
190,188,3.22315,0.143507,5,23
191,186,2.96909,0.117575,4,3
192,179,3.54727,0.159918,5,9
193,215,2.86873,0.115984,4,20
194,212,3.92071,0.151735,5,36
195,181,3.18315,0.145311,5,28
196,184,3.98447,0.208628,7,45
197,259,2.79491,0.111241,4,121
198,192,3.83224,0.170041,5,57
199,200,3.84593,0.18012,6,30
200,191,3.64496,0.154834,5,41
201,194,2.89273,0.0804525,3,24
202,214,2.96836,0.0796276,3,78
203,199,3.89356,0.157276,5,50
204,188,3.64496,0.154834,5,33
205,201,3.33405,0.154003,5,27
206,191,3.04545,0.152836,5,49
207,173,3.41491,0.202321,6,29
208,186,3.17055,0.155981,5,38
209,233,3.30678,0.128881,5,58
210,276,2.93987,0.103158,4,9
211,223,2.16,0,1,44
212,207,2.54182,0.0321888,2,3
213,237,3.18315,0.145311,5,75
214,270,2.61818,0.0527778,3,70
215,230,3.22824,0.152293,5,21
216,216,2.69296,0.0862855,4,87
217,207,3.11187,0.116738,4,11
218,196,3.55938,0.179296,6,25
219,211,2.97491,0.151571,5,34
220,229,3.00909,0.142598,5,88
221,205,3.22824,0.152293,5,14
222,263,2.67455,0.0802175,3,218
223,229,3.23125,0.114338,5,75
224,222,4.04665,0.189157,6,97
225,245,2.56727,0.0417847,2,79
226,195,2.16,0,1,40
227,243,3.86265,0.145355,5,124
228,240,3.04182,0.164973,5,43
229,252,2.87455,0.0746363,3,77
230,245,3.19636,0.161547,5,67
231,182,3.06727,0.12626,4,51
232,185,3.36593,0.145198,5,73
233,217,3.37091,0.204962,6,39
234,227,3.86424,0.187265,6,70
235,190,2.76727,0.0749014,3,15
236,222,3.08582,0.162621,5,82
237,190,3.22315,0.143507,5,35
238,206,2.88145,0.106007,4,84
239,205,3.92071,0.151735,5,4
240,272,2.76,0.0869565,3,50
241,243,2.84909,0.122527,4,69
242,185,3.74605,0.188319,6,9
243,231,3.47756,0.12893,4,83
244,209,3.51296,0.213029,7,96
245,281,3.34824,0.186258,6,72
246,214,3.01964,0.113801,4,86
247,246,3.30715,0.185824,6,67
248,307,2.65455,0.0356164,2,167
249,205,3.11733,0.14138,5,34
250,209,3.27296,0.125991,4,29
251,192,3.18315,0.145311,5,15
252,205,2.87091,0.108296,4,12
253,226,3.80824,0.219429,7,31
254,195,3.78605,0.18633,6,41
255,193,3.97404,0.159947,5,59
256,170,4.19975,0.218715,7,6
257,252,3.25127,0.192931,6,64
258,226,3.05404,0.030005,2,33
259,263,3.81162,0.112765,4,111
260,205,2.81018,0.0989907,4,16
261,190,3.52398,0.148179,5,12
