session_id,achieved_delay_bound,data_transfer_cost,interDC_cost_ratio,num_chosen_DCs,alg_running_time
1,219,2.49382,0.0809274,4,3
2,185,2.672,0.0898204,4,1
3,197,3.20593,0.107528,4,1
4,215,2.16,0,1,46
5,226,2.41624,0.023026,2,18
6,241,2.80387,0.0867631,4,12
7,252,2.49818,0.055313,3,38
8,185,3.07127,0.126095,4,1
9,216,3.10751,0.111636,4,1
10,195,2.82545,0.0868726,4,0
11,257,2.96364,0.0957055,4,52
12,232,2.79491,0.111241,4,3
13,193,3.00715,0.10992,4,0
14,235,2.512,0.0636943,3,32
15,203,2.80145,0.109034,4,0
16,193,2.62545,0.0934903,4,5
17,221,2.65273,0.10281,4,1
18,207,2.49818,0.055313,3,105
19,237,2.58545,0.0949367,4,3
20,225,2.54182,0.0321888,2,63
21,232,2.16,0,1,60
22,183,3.00715,0.10992,4,1
23,214,2.66545,0.0920873,4,5
24,208,3.8298,0.1222,4,1
25,205,3.24569,0.118647,4,1
26,194,3.11187,0.116738,4,1
27,254,2.63855,0.088892,4,52
28,199,2.82545,0.0868726,4,2
29,214,2.73696,0.0848983,4,1
30,209,3.24569,0.118647,4,2
31,229,2.49382,0.0809274,4,30
32,213,2.73273,0.0998004,4,2
33,234,2.77042,0.085842,4,1
34,260,2.75333,0.0641868,3,29
35,209,3.00715,0.10992,4,1
36,179,3.13902,0.106345,4,1
37,240,2.38909,0.0707763,4,11
38,195,2.52727,0.0820144,4,3
39,246,2.16,0,1,81
40,211,3.13902,0.106345,4,6
41,242,2.58545,0.0949367,4,6
42,192,2.34109,0.0465983,3,86
43,203,3.00715,0.10992,4,2
44,212,3.13902,0.106345,4,1
45,212,2.33273,0.0483242,3,4
46,211,2.20364,0.019802,2,14
47,243,2.86909,0.0659062,3,31
48,201,2.47636,0.0631424,3,5
49,268,2.62569,0.0781093,4,4
50,244,2.76364,0.102632,4,1
51,204,2.80387,0.0867631,4,1
52,250,2.62569,0.0781093,4,3
53,204,2.87091,0.108296,4,2
54,181,3.48035,0.115662,4,1
55,209,2.92364,0.0970149,4,3
56,233,2.33273,0.0483242,3,12
57,236,2.45818,0.056213,3,18
58,206,3.11187,0.116738,4,2
59,227,2.93309,0.119018,4,2
60,237,2.78836,0.113459,4,7
61,265,2.48727,0.0833333,4,9
62,220,2.50364,0.0653595,3,18
63,222,2.33273,0.0483242,3,48
64,239,2.69018,0.103406,4,3
65,218,2.41818,0.0571429,3,13
66,210,2.16,0,1,15
67,201,2.80387,0.0867631,4,1
68,233,3.02496,0.116485,4,4
69,219,2.62364,0.0623701,3,25
70,204,2.87091,0.108296,4,1
71,223,2.66569,0.0769372,4,3
72,235,2.592,0.0925926,4,2
73,196,2.97964,0.115328,4,1
74,251,2.20364,0.019802,2,17
75,219,2.16,0,1,56
76,259,2.50364,0.0653595,3,18
77,186,2.16,0,1,37
78,215,2.16,0,1,151
79,215,2.73042,0.0870995,4,5
80,265,2.73273,0.0998004,4,10
81,250,2.96364,0.0957055,4,7
82,206,3.13902,0.106345,4,5
83,205,2.96933,0.103972,4,1
84,231,2.31636,0.0243328,2,436
85,233,2.48727,0.0833333,4,1
86,202,2.62569,0.0781093,4,1
87,196,3,0.12,4,3
88,251,2.592,0.0925926,4,110
89,218,3.57938,0.114596,4,1
90,251,2.48727,0.0833333,4,2
91,241,2.69018,0.103406,4,17
92,233,2.74909,0.0687831,3,7
93,242,2.58545,0.0949367,4,3
94,209,2.80387,0.0867631,4,2
95,231,2.66545,0.0920873,4,1
96,295,2.32545,0.028147,2,11
97,191,2.87527,0.113823,4,1
98,252,2.96727,0.0833333,3,56
99,264,2.72278,0.0595647,3,7
100,221,2.62569,0.0781093,4,1
101,250,2.33273,0.0483242,3,10
102,223,2.16,0,1,55
103,225,2.52727,0.0820144,4,1
104,203,3.24569,0.118647,4,1
105,198,3.27296,0.125991,4,2
106,242,2.65273,0.10281,4,3
107,197,3.01333,0.102454,4,2
108,238,2.16,0,1,81
109,183,3.25624,0.116587,4,2
110,184,2.96364,0.0957055,4,1
111,205,2.31636,0.0243328,2,59
112,209,2.65273,0.10281,4,2
113,235,3.37138,0.121666,4,7
114,241,2.62545,0.0934903,4,2
115,199,3.00715,0.10992,4,0
116,243,2.62364,0.0623701,3,70
117,216,2.98836,0.105865,4,2
118,214,2.73273,0.0998004,4,1
119,219,3.10182,0.103751,4,10
120,237,2.28655,0.023855,2,113
121,265,2.78836,0.113459,4,1
122,217,3.10751,0.111636,4,1
123,210,3.24375,0.113001,4,1
124,232,2.80387,0.0867631,4,9
125,255,4.38253,0.141637,4,1
126,228,2.16,0,1,49
127,253,2.92024,0.109456,4,2
128,205,2.28655,0.023855,2,35
129,226,2.33273,0.0483242,3,14
130,195,3.10751,0.111636,4,1
131,234,2.33273,0.0483242,3,11
132,258,2.49382,0.0809274,4,45
133,225,2.31636,0.0243328,2,26
134,241,2.68364,0.105691,4,1
135,204,3.06509,0.133468,4,2
136,194,2.792,0.0859599,4,1
137,245,2.52727,0.0820144,4,4
138,212,2.62545,0.0934903,4,1
139,257,2.38909,0.0707763,4,3
140,229,2.512,0.0636943,3,46
141,222,2.33273,0.0483242,3,21
142,236,2.50364,0.0653595,3,28
143,228,2.59855,0.0902603,4,1
144,184,2.97987,0.101774,4,1
145,210,2.33273,0.0483242,3,15
146,238,2.48727,0.0833333,4,34
147,223,3.10751,0.111636,4,1
148,208,2.31636,0.0243328,2,204
149,215,2.66569,0.0769372,4,7
150,211,2.73696,0.0848983,4,6
151,215,2.66569,0.0769372,4,7
152,244,2.72387,0.0893113,4,2
153,220,3.17842,0.112577,4,1
154,223,3.7132,0.116342,4,4
155,219,3.81975,0.158792,4,6
156,251,2.48727,0.0833333,4,9
157,205,2.96364,0.0957055,4,4
158,199,2.49818,0.055313,3,6
159,258,2.45818,0.056213,3,48
160,230,2.27636,0.0247604,2,96
161,193,3.10751,0.111636,4,1
162,206,3.10182,0.103751,4,3
163,201,4.08482,0.12285,4,3
164,224,2.66569,0.0769372,4,3
165,199,2.38909,0.0707763,4,2
166,242,2.90182,0.110902,4,1
167,193,2.46655,0.0545481,3,14
168,198,3.10751,0.111636,4,0
169,245,2.46655,0.0545481,3,3
170,212,2.80387,0.0867631,4,1
171,259,3.09091,0.0941176,3,20
172,228,2.41818,0.0571429,3,139
173,255,2.58545,0.0949367,4,21
174,200,3.10751,0.111636,4,1
175,254,2.20364,0.019802,2,14
176,239,2.93987,0.103158,4,3
177,203,3.4766,0.113904,4,1
178,204,2.28655,0.023855,2,20
179,188,3.34411,0.114503,4,2
180,260,2.16,0,1,733
181,227,2.58545,0.0949367,4,2
182,225,2.62569,0.0781093,4,2
183,202,3.4766,0.113904,4,0
184,246,2.55455,0.0918149,4,1
185,232,2.79769,0.0947535,4,2
186,247,3.3166,0.119399,4,2
187,197,2.69673,0.101133,4,4
188,205,3.10751,0.111636,4,1
189,269,2.46655,0.0545481,3,24
190,188,3.10751,0.111636,4,1
191,186,2.96909,0.117575,4,0
192,182,3.40545,0.124933,4,0
193,215,2.55455,0.0918149,4,1
194,219,3.24375,0.113001,4,1
195,188,3.10751,0.111636,4,1
196,207,2.78545,0.0881201,4,3
197,259,2.78509,0.0822562,3,37
198,207,3.27296,0.125991,4,5
199,201,3.01333,0.102454,4,1
200,197,3.10751,0.111636,4,1
201,194,2.73273,0.0998004,4,2
202,214,2.592,0.0617284,3,20
203,210,3.04047,0.0918517,4,2
204,206,2.80387,0.0867631,4,3
205,213,2.62569,0.0781093,4,5
206,191,2.65273,0.10281,4,1
207,186,3.11782,0.122463,4,1
208,186,2.63855,0.088892,4,1
209,241,2.45818,0.056213,3,31
210,274,2.33273,0.0483242,3,7
211,220,2.31636,0.0243328,2,70
212,207,2.31636,0.0243328,2,10
213,228,2.73042,0.0870995,4,1
214,267,2.82545,0.0868726,4,5
215,231,2.89309,0.120664,4,1
216,216,2.69296,0.0862855,4,2
217,207,3.11187,0.116738,4,0
218,196,3.10751,0.111636,4,1
219,211,2.65273,0.10281,4,2
220,222,2.55733,0.0534649,3,3
221,217,3.24569,0.118647,4,2
